tate,yoko,type
20.7,10.9,a
18.5,10.3,a
17.9,9.7,a
17.6,13.4,a
19,13.5,a
18.8,10.3,a
20.1,12.6,a
16.4,12.7,a
17.4,10,a
18.7,13.9,a
17.3,13.5,a
18.8,12.7,a
18,10.9,a
17.5,12.7,a
18.5,13.9,a
17.4,13.5,a
18.2,13.1,a
15.9,10.5,a
15.9,14,a
15.8,9.6,a
19.2,13.6,a
15.8,9.9,a
15.3,10.4,a
15.1,9.9,a
14.7,10.5,a
17.4,11.6,a
15.8,11.3,a
16.7,10,a
15.8,10.5,a
15.9,9.9,a
13.7,8.9,a
18.9,10.9,a
18.7,13.4,a
18.7,10.9,a
18.3,13.7,a
16.9,11.4,a
14.2,9.5,a
13.6,8.1,a
19,10.6,a
16.9,9.6,a
19.4,11.6,a
12.6,11.9,a
19.7,14,a
10.9,7.9,b
12.3,7.9,b
15.9,10.5,b
15.2,10.2,b
17.4,11.1,b
15.6,11.2,b
15.5,10.5,b
14.4,10.6,b
15.4,11.9,b
18,12,b
14.9,11,b
14.4,10.6,b
14.4,10.7,b
16.4,10.9,b
12.2,11.2,b
14.8,10.9,b
16,11.4,b
11.1,12.9,b
11.1,10.5,b
14.9,10.6,b
16.9,10.7,b
16.8,11.4,b
14.5,11.1,b
15.5,11.2,b
14.9,10.9,b
12.4,10.9,b
15.6,11.8,b
15,11.8,b
15.6,11,b
15.3,11.5,b
14.2,11.9,b
15.6,11.4,b
15,10.6,b
15.9,11.1,b
15.1,10.4,b
15.1,11,b
16.6,10.7,b
16.5,11.9,b
15.7,11.7,b
15.5,11.4,b
14.2,9.1,b
16,11.4,b
15.7,11.3,b
16.4,11.6,b
14.3,10.8,b
11.4,7.5,b
